Temperature,H2,H2O,CO,CO2,CH2O,CH4,CH3OH,C2H2,CH3CHO,C2H4,C2H6,CH3COCH3,A1-C6H6,C5H6,A2-C10H8,A1OH-C6H6O,C5H4O2,C2H2O2,HAA-C2H4O2,XYLOSE-C5H8O,C11H12O4,C8H10O3,C2H5OH,HCOOH
1073.0,0.00018,0.201,0.09823,0.09115,0.0588,0.00434,0.06583,0.0,0.01503,0.01899,0.0,0.06323,0.0,0.0,0.0,0.00199,0.0,0.02073,0.06927,0.03228,0.03491,0.0,0.00773,0.00777
1073.0,0.00018,0.19692,0.09427,0.08872,0.05283,0.0047,0.06423,0.0,0.01403,0.01807,0.0,0.05968,0.0,0.0,0.0,0.0024,0.0,0.01885,0.06505,0.04607,0.03762,0.0,0.00667,0.00742
1073.0,0.00016,0.19468,0.08762,0.08289,0.04738,0.00425,0.05957,0.0,0.01262,0.01661,0.0,0.05607,0.0,0.0,0.0,0.00247,0.0,0.01725,0.06128,0.0593,0.05084,0.0,0.00571,0.007
1073.0,0.00015,0.31408,0.08351,0.07747,0.04981,0.0037,0.05554,0.0,0.01274,0.01617,0.0,0.05382,0.0,0.0,0.0,0.0017,0.0,0.01756,0.05889,0.0293,0.03115,0.0,0.00653,0.00662
1073.0,0.00015,0.30899,0.0805,0.07597,0.04508,0.00394,0.05493,0.0,0.01195,0.01537,0.0,0.05105,0.0,0.0,0.0,0.00203,0.0,0.0161,0.05564,0.04031,0.03366,0.0,0.00568,0.00635
1073.0,0.00013,0.30658,0.07514,0.07127,0.04067,0.00365,0.05113,0.0,0.01081,0.01428,0.0,0.04817,0.0,0.0,0.0,0.00212,0.0,0.01483,0.0527,0.05124,0.04465,0.0,0.00489,0.00601
1073.0,0.00022,0.08054,0.115,0.10646,0.0716,0.00505,0.07545,0.0,0.01804,0.02276,0.0,0.07563,0.0,0.0,0.0,0.0023,0.0,0.02535,0.08352,0.02999,0.03705,0.0,0.0095,0.00919
1073.0,0.00022,0.07745,0.11067,0.10486,0.06316,0.00565,0.0756,0.0,0.01662,0.02147,0.0,0.07019,0.0,0.0,0.0,0.00285,0.0,0.02259,0.07703,0.04713,0.04078,0.0,0.00806,0.00867
1073.0,0.00019,0.07523,0.10238,0.09702,0.0561,0.0051,0.06966,0.0,0.01483,0.01964,0.0,0.06541,0.0,0.0,0.0,0.00301,0.0,0.02039,0.07192,0.06383,0.05633,0.0,0.00685,0.00813
1073.0,0.00019,0.20306,0.09805,0.0915,0.06124,0.00433,0.06334,0.0,0.01535,0.01959,0.0,0.06484,0.0,0.0,0.0,0.00199,0.0,0.02165,0.07163,0.02769,0.03493,0.0,0.00812,0.00788
1073.0,0.0,0.32153,0.14504,0.0474,0.04242,0.00708,0.06714,0.0,0.00945,0.05652,0.0,0.03999,0.0,0.0,0.0,0.03177,0.0,0.0,0.01809,0.0,0.14193,0.0,0.0,0.00691
1073.0,0.00018,0.19748,0.09624,0.09086,0.05469,0.00486,0.06565,0.0,0.01445,0.01855,0.0,0.06092,0.0,0.0,0.0,0.00244,0.0,0.01951,0.06665,0.04148,0.03461,0.0,0.00697,0.00755
1073.0,0.00017,0.19472,0.08912,0.0844,0.04872,0.00446,0.06056,0.0,0.01292,0.01708,0.0,0.05695,0.0,0.0,0.0,0.00259,0.0,0.01773,0.06254,0.0559,0.04877,0.0,0.00593,0.00709
1073.0,0.00016,0.31669,0.08316,0.07787,0.05182,0.00368,0.05344,0.0,0.01297,0.01666,0.0,0.05503,0.0,0.0,0.0,0.0017,0.0,0.01829,0.06074,0.02506,0.03147,0.0,0.00687,0.0067
1073.0,0.00015,0.30933,0.08203,0.0778,0.0467,0.00403,0.05616,0.0,0.01226,0.01579,0.0,0.05197,0.0,0.0,0.0,0.00205,0.0,0.01659,0.05682,0.03588,0.03159,0.0,0.00597,0.00645
1073.0,0.00014,0.30686,0.07679,0.07256,0.04185,0.00381,0.05211,0.0,0.01114,0.01464,0.0,0.04899,0.0,0.0,0.0,0.00223,0.0,0.01521,0.05371,0.04827,0.04135,0.0,0.00509,0.00611
1073.0,0.00021,0.08024,0.11624,0.10967,0.06759,0.00541,0.07965,0.0,0.01784,0.02198,0.0,0.07327,0.0,0.0,0.0,0.00258,0.0,0.02379,0.07977,0.03715,0.02864,0.0,0.00883,0.00906
1073.0,0.00022,0.0774,0.10941,0.10156,0.06041,0.00596,0.07366,0.0,0.01622,0.02124,0.0,0.06855,0.0,0.0,0.0,0.00324,0.0,0.02157,0.07502,0.05361,0.04006,0.0,0.0076,0.00854
1073.0,0.0002,0.07566,0.10178,0.09412,0.05367,0.00559,0.06787,0.0,0.01454,0.01964,0.0,0.06408,0.0,0.0,0.0,0.00365,0.0,0.01957,0.07062,0.0693,0.05486,0.0,0.00642,0.00803
1073.0,0.00018,0.20094,0.1002,0.09418,0.05792,0.00459,0.06862,0.0,0.01535,0.01883,0.0,0.06317,0.0,0.0,0.0,0.00219,0.0,0.02039,0.06859,0.03435,0.02571,0.0,0.00753,0.00783
1073.0,0.00021,0.19679,0.09512,0.08763,0.05193,0.00607,0.06359,0.0,0.01406,0.01932,0.0,0.05935,0.0,0.0,0.0,0.0028,0.0,0.01859,0.06482,0.0481,0.03435,0.0,0.00649,0.0074
1073.0,0.0,0.31997,0.14125,0.04737,0.04221,0.0069,0.06573,0.0,0.00877,0.05649,0.0,0.03907,0.0,0.0,0.0,0.03128,0.0,0.0,0.01755,0.0,0.15311,0.0,0.0,0.00673
1073.0,0.00017,0.19474,0.08855,0.08194,0.04664,0.00492,0.05903,0.0,0.01267,0.01712,0.0,0.05586,0.0,0.0,0.0,0.0031,0.0,0.01706,0.06146,0.06092,0.04784,0.0,0.00555,0.007
1073.0,0.00015,0.31363,0.08556,0.08007,0.04919,0.00389,0.05853,0.0,0.01309,0.01601,0.0,0.05396,0.0,0.0,0.0,0.00185,0.0,0.01734,0.05846,0.03104,0.02258,0.0,0.00637,0.00669
1073.0,0.00019,0.3087,0.08179,0.07526,0.04452,0.00529,0.05459,0.0,0.01209,0.01665,0.0,0.05103,0.0,0.0,0.0,0.00239,0.0,0.01597,0.05569,0.04188,0.02956,0.0,0.00555,0.00637
1073.0,0.00015,0.30653,0.07644,0.07065,0.04022,0.00427,0.05089,0.0,0.01095,0.01477,0.0,0.0482,0.0,0.0,0.0,0.00268,0.0,0.01472,0.05303,0.05243,0.04067,0.0,0.00478,0.00604
1073.0,0.00022,0.08179,0.12034,0.11349,0.07174,0.00549,0.08287,0.0,0.01878,0.02279,0.0,0.07618,0.0,0.0,0.0,0.00247,0.0,0.02531,0.08331,0.02771,0.02296,0.0,0.00947,0.00936
1073.0,0.00031,0.0786,0.11517,0.10659,0.06485,0.00875,0.07689,0.0,0.01731,0.02492,0.0,0.07157,0.0,0.0,0.0,0.00345,0.0,0.02324,0.07908,0.0421,0.03114,0.0,0.0083,0.00883
1073.0,0.00024,0.07639,0.10645,0.09842,0.05752,0.0068,0.07091,0.0,0.01555,0.02158,0.0,0.06685,0.0,0.0,0.0,0.00358,0.0,0.02097,0.07383,0.06054,0.04659,0.0,0.00703,0.00831
1073.0,0.00019,0.20241,0.10355,0.09786,0.06168,0.00478,0.0714,0.0,0.01608,0.01973,0.0,0.06557,0.0,0.0,0.0,0.00215,0.0,0.02174,0.07175,0.025,0.02211,0.0,0.00814,0.00806
1073.0,0.00027,0.19748,0.09989,0.09223,0.05599,0.00763,0.06666,0.0,0.01496,0.02169,0.0,0.0619,0.0,0.0,0.0,0.00295,0.0,0.01996,0.06816,0.0373,0.02718,0.0,0.00717,0.00766
1073.0,0.00021,0.19535,0.0926,0.0857,0.05004,0.00576,0.06172,0.0,0.01352,0.01861,0.0,0.05818,0.0,0.0,0.0,0.00311,0.0,0.01823,0.06423,0.05277,0.04075,0.0,0.00611,0.00724
1073.0,0.0,0.49875,0.08353,0.04158,0.03642,0.00531,0.03989,0.0,0.0069,0.0502,0.0,0.03354,0.0,0.0,0.0,0.02543,0.0,0.0,0.01296,0.0,0.10943,0.0,0.0,0.00521
1073.0,0.00016,0.31507,0.08818,0.08276,0.05251,0.00394,0.06095,0.0,0.01365,0.01673,0.0,0.0559,0.0,0.0,0.0,0.0018,0.0,0.01847,0.0611,0.0224,0.02064,0.0,0.00693,0.00688
1073.0,0.00021,0.3094,0.08539,0.07914,0.04795,0.00595,0.05724,0.0,0.01278,0.01798,0.0,0.05301,0.0,0.0,0.0,0.00247,0.0,0.01701,0.05822,0.03244,0.02419,0.0,0.00615,0.00658
1073.0,0.00017,0.3073,0.07947,0.07379,0.04301,0.00465,0.05311,0.0,0.01163,0.01567,0.0,0.05008,0.0,0.0,0.0,0.00257,0.0,0.01567,0.05514,0.04572,0.03535,0.0,0.00525,0.00623
1073.0,0.00026,0.08304,0.123,0.11734,0.07423,0.00648,0.08449,0.0,0.01937,0.02415,0.0,0.07809,0.0,0.0,0.0,0.00262,0.0,0.02648,0.08616,0.02192,0.01982,0.0,0.0098,0.00951
1073.0,0.00037,0.07888,0.11715,0.10763,0.06588,0.01073,0.07759,0.0,0.01759,0.02717,0.0,0.07225,0.0,0.0,0.0,0.00352,0.0,0.02362,0.07997,0.03895,0.02776,0.0,0.00846,0.00889
1073.0,0.00028,0.07669,0.10877,0.10022,0.0592,0.00784,0.07225,0.0,0.01598,0.02298,0.0,0.06797,0.0,0.0,0.0,0.00356,0.0,0.02152,0.07509,0.05625,0.04236,0.0,0.00731,0.00843
1073.0,0.0002,0.20401,0.10576,0.10042,0.06436,0.00469,0.07326,0.0,0.01666,0.02007,0.0,0.0676,0.0,0.0,0.0,0.0021,0.0,0.02293,0.07454,0.01938,0.02037,0.0,0.00851,0.00823
1073.0,0.00028,0.19821,0.10163,0.09452,0.0579,0.00786,0.06803,0.0,0.01535,0.0222,0.0,0.06315,0.0,0.0,0.0,0.00294,0.0,0.02068,0.06984,0.03258,0.02521,0.0,0.00747,0.00778
1073.0,0.00023,0.19556,0.09467,0.08745,0.05161,0.00655,0.06294,0.0,0.01391,0.01973,0.0,0.05921,0.0,0.0,0.0,0.00316,0.0,0.01876,0.06551,0.04863,0.03719,0.0,0.00638,0.00734
1073.0,0.00017,0.31644,0.0901,0.08526,0.05492,0.00396,0.06259,0.0,0.01413,0.01715,0.0,0.05762,0.0,0.0,0.0,0.00178,0.0,0.01951,0.06355,0.01701,0.01931,0.0,0.00728,0.00702
1073.0,0.0,0.48053,0.09512,0.04,0.03566,0.00581,0.04505,0.0,0.00772,0.04781,0.0,0.03347,0.0,0.0,0.0,0.02445,0.0,0.0,0.01259,0.0,0.11713,0.0,0.0,0.00568
1073.0,0.00023,0.30957,0.08693,0.0814,0.04986,0.00657,0.05853,0.0,0.01306,0.01898,0.0,0.05404,0.0,0.0,0.0,0.00248,0.0,0.01768,0.05977,0.02707,0.02353,0.0,0.00648,0.00666
1073.0,0.00019,0.30732,0.08118,0.07549,0.04454,0.00522,0.05428,0.0,0.01194,0.01658,0.0,0.05093,0.0,0.0,0.0,0.00261,0.0,0.01613,0.05625,0.04135,0.03291,0.0,0.00552,0.00632
1073.0,0.00022,0.06825,0.06646,0.11812,0.06621,0.00266,0.03766,0.0,0.01318,0.01169,0.0,0.05223,0.0,0.0,0.0,0.00146,0.0,0.02563,0.077,0.06905,0.05628,0.0,0.00895,0.00713
