H2,H2O,CO,CO2,CH2O,CH4,CH3OH,C2H2,CH3CHO,C2H4,C2H6,CH3COCH3,A1-C6H6,C5H6,A2-C10H8,A1OH-C6H6O,C5H4O2,C2H2O2,HAA-C2H4O2,XYLOSE-C5H8O,C11H12O4,C8H10O3,C2H5OH,HCOOH
0.0015309806671257014,0.16930317962188385,0.20742244521831263,0.06701956695961651,0.06017561927433098,0.014629701932619294,0.0720185017897534,0.0013544494371422922,0.0018511028975810855,0.07243160466805253,8.62516009590383e-07,0.05424157792882852,0.00042111293410929286,0.008316517945436037,0.03532654613812332,0.028071595589170533,0.0,3.733086010320431e-10,5.056385230423222e-05,0.0,0.18797730973410376,0.008903762037066113,8.761111043143645e-07,0.008952122374017326
0.0015034101541957705,0.16173409236965844,0.2261265272831705,0.0627167235955755,0.06156411581073709,0.013746592845983875,0.08247615705293912,0.0012436683998716985,0.0017628219062909712,0.06821016069884743,7.59093126997578e-07,0.050977644308556634,0.000415057803345567,0.008787239349970727,0.037836455551537855,0.02947079904898355,0.0,3.7019050030692024e-10,5.25580549828223e-05,0.0,0.17482418078153997,0.008102404724523147,7.83738293453714e-07,0.008447847057678254
0.0015142524452312755,0.16197933126431183,0.22679386395742512,0.06275101573362556,0.0615193056105332,0.013804713457206035,0.08246297774090963,0.0012386301799664269,0.0017748645871319799,0.06820026051949454,7.707153343008711e-07,0.05109781995916141,0.0004185034395665738,0.008801092333797389,0.037892911431589855,0.02951004253505778,0.0,3.71481053102298e-10,5.2406930718388656e-05,0.0,0.17364642715301723,0.008065646289365272,7.836964409890759e-07,0.008474379648634199
0.01102505563182787,0.13197366593190202,0.2780764031583252,0.10369852325707814,0.09190846376508263,0.012992165557756995,0.027979241181721105,0.0006914354889456697,0.0013539368318912207,0.01791399039301599,1.2284961989246459e-05,0.05812969331925397,0.015112176255215054,0.0013531868281067428,0.0020300302434216066,0.0017800889822316697,0.1402077074804254,5.08970568237657e-09,0.0001947189825413387,0.010078150853798137,0.0762986849989925,0.009353847199001501,5.240676444166778e-07,0.007836019540126127
0.010370847807518149,0.1326976117092448,0.2729992584715586,0.09927215762463835,0.09317162950243327,0.012117955861334146,0.032761351023225166,0.0007120602824543864,0.0012747458763215649,0.016303575156195484,1.0202647032146476e-05,0.05409974938894088,0.01498046905694304,0.0013699063149920077,0.0020215593189810152,0.0017485780605924336,0.14214665526743112,5.5245754671794264e-09,0.00021685799967167076,0.012029055451521177,0.08250578033501832,0.009686274651773878,4.480790655541819e-07,0.0075032645885374704
0.010309443374698427,0.27238714600855585,0.24020301060093813,0.09181428628826352,0.08458755588339678,0.009688900763902905,0.016019967400462812,0.0005355832533478533,0.0010648244800130346,0.015903166909050626,1.5729666179084754e-05,0.0542725283396362,0.013838558222667097,0.0010910645904124842,0.0019301881208387888,0.0016627169955133005,0.12956154510149018,4.006616856952559e-09,0.00014739062011337236,0.007726202506284919,0.03667555430426743,0.004670049648199013,5.481173060821026e-07,0.0058940347978452936
0.009269232342359624,0.2587241818661942,0.2347390723009037,0.08752569982217744,0.08103747018359006,0.010887649735378674,0.023742508457075446,0.0007021542074787714,0.0011748453667578052,0.013957963760740842,1.3280060664042469e-05,0.04995892821511284,0.012794258444871398,0.0011986454754780017,0.0017496779926246377,0.001522636955488779,0.1224705594522049,4.143398927272611e-09,0.00015554571054130162,0.009021711211669581,0.06491389653022495,0.007755835429079863,4.5180406386564123e-07,0.006683790531920218
0.00875445104357013,0.25369218938733157,0.23234708931491044,0.08505749877582255,0.08212278501697813,0.010279948195571896,0.028304132698515252,0.000730017422547128,0.0011179552413194292,0.012870660341630527,1.1081251952331375e-05,0.046784919342150455,0.012593659042962892,0.001213405688820605,0.0017438881758863334,0.0015009870370907797,0.12372258004966451,4.447190849804129e-09,0.000172676809562211,0.01055954950642919,0.07173003629256251,0.008209298487726587,3.9604585678528743e-07,0.0064807903839467825
0.008486644834904121,0.3985586359529755,0.19754781086921683,0.07551100994802337,0.07160979393480632,0.007783741949717444,0.012792052507195865,0.0005026590632512158,0.0008794116096973189,0.012425851004058349,1.6130266209472387e-05,0.0450494849134161,0.011576047515892694,0.0009007846974268605,0.0016172966384742653,0.0013845556831486895,0.10976645055541444,3.1977531257317473e-09,0.00011277946292284573,0.006764637766627754,0.028364816428303515,0.0035641246295670622,4.669309165988476e-07,0.004784809640080183
0.0077356539992187905,0.3720401161073736,0.19725112193426328,0.07386852015286365,0.06957769574730958,0.009144132010426657,0.020444516285286957,0.0006904579272192639,0.001009975744587822,0.011136063340227913,1.367427777720407e-05,0.042266440405059356,0.010675860722665692,0.0010149657729703414,0.0014771284016808059,0.0012823272936818477,0.10445859414453369,3.3127088421820764e-09,0.00012150769111719406,0.0078223344922442,0.0557581171436566,0.006538407189461744,3.9364223897695006e-07,0.005671992261425926
